Summary,Issue key,Issue Type,Status,Priority,Resolution,Created,Resolved,Fix versions,Labels,Labels,Labels,Labels,Description,Environment,Custom field (Severity),Sprint,Sprint,Sprint,Custom field (Story Points)
[Prod] WF step order display in UI ,OBN1-5517,Bug,Done,P1 ,,10/21/2021 13:15,,OBN Portal Release 1.2.9,,,,,"!image-2021-10-21-15-15-16-465.png|width=200,height=183!

 
[https://portal.obnglobal.com/my-organisation/my-workflows/2285f7e5-080e-44fe-ad34-6175dd101a6c|https://portal.obnglobal.com/my-organisation/my-workflows/2285f7e5-080e-44fe-ad34-6175dd101a6c]

+Steps:+

# Update in DB workflow step order 

+Expected:+

Logged as an Referrer in “My Organisation > My Workflows” and in “My Merchant > Open Application > Application Status“ I want to see the new order

+Actual:+

Old order is displayed ",,,49,,,0.5
Validation required that CS customer id doesn't exist already in our system,OBN1-5501,Bug,Done,P4,,10/20/2021 15:08,,OBN Portal Release 1.2.9,,,,,"*Preconditions:*

# In “payment_merchant_gateway_connections“ exists a record with “411“ eid

*Steps:*

# Sign-up with another merhcant
# On “About its Payments“ select:
## Cardstream gateway
## Introduce “411“ as customer id

*Expected result:*

A validation error should be thrown saying that this customer had already an account in our system

*Actual result:*

The id is accepted if it exists in CS and during the workflow this issue is received:
{{app.ERROR: An exception occurred while executing 'INSERT INTO payment_merchant_gateway_connections (eid, status, error_message, user_eid, user_status, user_error_message, details, created_at, updated_at, merchant_id, gateway_name) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)' with params [""4911"", ""SYNCHRONISED"", null, null, ""CREATED"", null, null, ""2021-10-20 13:27:19"", null, 13, ""CARDSTREAM""]:  SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4911' for key 'payment_merchant_gateway_connections.UNIQ_1CEE44294FBDA576'}}",,,49,,,0.5
Error on Referrer creation for existing Resellers in CS,OBN1-5498,Bug,Done,P2,,10/20/2021 13:04,,OBN Portal Release 1.2.9,,,,,"*Preconditions:*

# Log in as Reseller Admin
# CS returns 500 error 

*Steps:*

# Navigate to Referrers page
# Create new Referrer
# Introduce CS credentials

*Expected result:*

The 500 error should be treated properly: retry or return validation error

*Actual result:*

!image-20211020-120421.png|width=1151,height=448!",,,49,,,0.5
EWD should be ignored for non-active Merchants,OBN1-5476,Bug,Done,P2,,10/19/2021 10:30,,OBN Portal Release 1.2.7,,,,,"*Preconditions:*

# Merchants is still Pending

*Steps:*

# EWD comes

*Expected result:*

At EWD merchants non-active should be skipped

*Actual result:*

!image-20211019-094634.png|width=810,height=275!",,,49,,,0.5
[Prod] Onboarded merchant cannot be found under Cardstream ,OBN1-5474,Bug,Done,P1 ,,10/19/2021 8:54,,OBN Portal Release 1.2.7,,,,,"Lincoln College was submitted as the first merchant last week.  The WF suggests that this has been onboarded with the gateway, but Adam cannot see it in CAS.  

It should be under Take Payments in Cardstream with a PbBA processor, but inactive for now",,,49,,,3
Settlement webhook error received for merchants under Reseller/Referrer without external API,OBN1-5447,Bug,Done,P1 ,,10/15/2021 14:42,,OBN 1.3,,,,,"*Preconditions:* 

# Merchant under Reseller or Referrer which uses UI

*Steps:* 

# Settlement time comes
# There are enough funds for settlement and payment to external bank account is performed

*Actual result:*

The webhook sending is put in messenger


!image-20211015-134551.png|width=770,height=63!

And error recorded in logs:

!image-20211015-134650.png|width=1219,height=35!",,,49,,,1
Refund fees should be treated properly in Reports,OBN1-5403,Bug,Done,P3,,10/11/2021 13:24,,OBN Portal Release 1.2.9,,,,,"*Preconditions:*

# There are refunds in payment_requests_to_refund
# Refund is linked to a RTP authorized X days ago

*Steps:*

# End of day comes

*Expected:*
In the reports parts, the *refund_fee_count* and *refund_fee_volume* should be taken from payment_requests_to_refund based on created_at

*Actual:*

Details are taken from RTP ( refunded_minor_units, refund_count)",,,48,,,0.5
Webhook - Wrong error response when time is out,OBN1-5367,Bug,Done,P4,,10/7/2021 10:03,,OBN Portal Release 1.2.5,,,,,"*Actual:*

When 500 error from Referrer on webhook sent, exception received

!image-20211011-133204.png|width=509,height=178!",,,48,,,0.5
My Merchants-Open Applications-Status of steps is displayed upper,OBN1-5327,Bug,Done,P4,,10/4/2021 13:11,,OBN 1.3.1,,,,,"*Preconditions:*

# Referrer accepts just MCC with id = 1

*Steps:*

# Merchant onboards under Referrer
# Merchant has MCC with id = 2
# Workflow stops and is under manual review
# Login as Reseller admin
# Go to My Merchants->Open Applications
# Check the steps

*Actual result:*

!Screenshot_911.png|width=1121,height=524!",,,53,,,1
"""New funds volume"" from reports should consider the difference between payments",OBN1-5258,Bug,Done,P4,,9/24/2021 15:53,,OBN Portal Release 1.2.5,,,,,"*Preconditions:* 

# There are transactions performed during current day
# The transaction records differences between asked and authorized values

!image-20210924-145913.png|width=310,height=234!



*Steps:*

# Run EWD job

*Expected result:* 

When new funds are recorded it should be: minor_units + difference_between_payment

!image-20210924-145951.png|width=399,height=188!

*Actual result:*

Difference is not recorded. It just sums all values",,,48,,,0.5
After splitting payment_requests_to_refund.refund_referrer_share_units is not populated,OBN1-5230,Bug,Done,P1 ,,9/21/2021 15:27,,OBN Portal Release 1.2.4,,,,,"*Steps:*

# Transaction is authorized
# Perform a Refund for the transaction

*Expected result:*

After splitting payment_requests_to_refund.refund_referrer_share_units is populated 

*Actual result:*

!Screenshot_795.png|width=661,height=517!

!Screenshot_796.png|width=1141,height=517!",,,47,,,1
"External documentation - ""Log in"" button should reappear when token expires",OBN1-5206,Bug,Done,P4,,9/17/2021 7:32,,OBN Portal Release 1.2.4,,,,,"*Preconditions:*

# I’m on external documentation
# I have a valid token

*Steps:*

# Wait 15 minutes
# send a request

*Expected result:*

The token is expired and “Log in“ button becomes visible in the right up corner

*Actual result:*

Error received from backend. However, “Log in“ button is not available even after reloading page

!image-20210917-063420.png|width=838,height=386!",,,47,,,0.5
Re-align the column names on the Reports page,OBN1-5166,Bug,Done,P5,,9/14/2021 14:21,,OBN Portal Release 1.2.4,,,,,"*Preconditions:*

# Use a smaller sreen

*Steps:*

# Navigate to Reports page
# Expand details from “*_New funds received since start of period_*“

*Expected result:*

Text should get smaller 

*Actual result:*

!image-20210914-132329.png|width=1128,height=330!",,,47,,,0.5
Reports not updated correctly when merchant has multiple outlets,OBN1-5164,Bug,Done,P1 ,,9/14/2021 13:23,,OBN Portal Release 1.2.5,,,,,"*Preconditions:*

# There are 2 Merchants
# One merchant has 2 outlets
# Each outlet has its own mpa

*Steps:*

# Create a transaction for one of the mpa's
# Run EWD command

*Actual result:*
The report parts are not generated correctly 

The report parts are not updates correctly (any values aren’t changed)

*Expected result:*

For each mpa should be generated a report part.

Values in the report parts should be updates correctly",,,48,,,1
EWD populated report part for 2 days ago,OBN1-5108,Bug,Done,P1 ,,9/3/2021 14:36,,OBN 1.3.1,,,,,"*Preconditions:*

# Is 16 PM hour (MD)
# Change in env file {{WORKING_DAY_END_HOUR=14}}
# Is 03.09

*Steps:*

# Transaction A was performed on 03.09
# End of working day comes

*Expected:*

Report part from 02.09 should be updated

*Actual:*

Report part from 01.09 is updated",,,47,,,1
Wrong error message for wrong attempts on authentication ,OBN1-5106,Bug,Done,P4,,9/3/2021 10:03,,OBN Portal Release 1.2.4,,,,,"*Preconditions:*

# User has 6 wrong authentication attempts

*Steps:*

# Log in again with wrong credentials

*Expected result:*

A proper error should be displayed

*Actual result:*

!image-20210903-090403.png|width=342,height=86!",,,46,,,0.5
[Prod] Leaked password error not displayed on UI,OBN1-5101,Bug,Done,P4,,9/2/2021 12:19,,OBN Portal Release 1.2.4,,,,,"*Preconditions:*

# User asked for reset password

*Steps:*

# Access the link
# Try to put “qwertY@123” password 

*Expected result:*

Error received from backend should be displayed in ui

*Actual result:*

!image-20210903-124539.png|width=903,height=562!",,,46,,,0.5
External documentation - list endpoint not correctly pinned ,OBN1-5096,Bug,Done,P4,,9/2/2021 11:12,,OBN Portal Release 1.2.4,,,,,"*Steps:*

# Go to external documentation
# Click on “Authentication“
# Refresh the page
# Use arrow and expand endpoint
# Use arrow and expand “Merchant Onboarding“
# Click on “MCC” endpoint

*Expected result:*

The MCC value should remain highlighted

*Actual result:*

The highlighting goes upper 

!CPT2109021326-1688x860.gif|width=1688,height=860!",,,46,,,0.5
Error on saving owners,OBN1-5076,Bug,Done,P1 ,,9/1/2021 12:00,,OBN Portal Release 1.2.4,,,,,"*Preconditions:*

# Applicant has Partnership organisation type

*Steps:*

# Complete “About the Business“ step
# Introduce the ownership 100%
# Try to save the “About the Owners“

*Expected result:*

Owner should be successfully saved

*Actual result:*

Error received

!image-20210901-111127.png|width=877,height=524!",,S1,48,,,0.5
Edit commercial offer and workflow buttons shouldn't be available for Referrer users,OBN1-5072,Bug,Done,P4,,8/26/2021 13:31,,OBN Portal Release 1.2.4,,,,,"*Preconditions:*

# Merchant signed-up under Referrer
# Commercial offer is ready

*Steps:*

# Log in as Referrer Admin
# Navigate to Open Applications

*Expected result:*

Edit commercial offer SHOULDN’T be editable for Referrer.

Access to “Reject/Continue“ buttons from workflow should be hidden for Referrer admin

*Actual result:*

Referrer has access to edit offer fields (but backend throws 403).

Referrer has access to Reject/Approve button (but backend throws 403).",,,45,,,
null value on outlet MCC when industry not selected ,OBN1-4923,Bug,Done,P4,,8/17/2021 14:56,,OBN Portal Release 1.2.4,,,,,"*Preconditions:*

# Merchant successfully signed up

*Steps:*

# Navigate to “About its Payments“
# Don’t select anything in the merchant industry
# Go to Outlet and click on “Please confirm the outlet's Merchant Category Code“

*Expected result:*

An empty list should be displayed

*Actual result:*

!image-20210817-135740.png|width=810,height=685!",,,45,,,
All merchant Xero contacts are created under OBN contact group,OBN1-4884,Bug,Done,P1 ,,8/13/2021 15:21,,OBN Portal Release 1.2.4,,,,,"*Preconditions:*

# Merchant onboards under Referrer

*Steps:*

# Onboarding passes
# Record merchants to Xero job runs
# Assign merchant to contact group job runs

*Expected result:*

Merchant should be assigned under Referrer contact group

*Actual result:*

All the Merchants are recorded under Reseller contact group",,,46,,,0.5
Doctrine update entity issues,OBN1-4854,Bug,Done,P1 ,,8/12/2021 11:05,,OBN Portal Release 1.2.4,,,,,,,,44,,,1
[Prod] Menu is not collapsed in API doc,OBN1-4815,Bug,Done,P3,,8/10/2021 7:21,,OBN Portal Release 1.2.2,,,,,"*Steps:* 

# Expand ""Notifications""
# Expand ""Merchant Onboarding"" 
# Expand "" Reporting"" 
# Collapse ""Merchant Onboarding"" 

*Expected result:*
""Merchant Onboarding"" is collapsed

*Actual result:*
""Merchant Onboarding"" should be clicked twice to be collapsed

*Note\!* check all items under menu",,,44,,,0.5
Add proper description for Settlement Frequency field,OBN1-4798,Bug,Done,P1 ,,8/9/2021 14:06,,OBN Portal Release 1.2.2,,,,,"*Steps:*

# Navigate to external documentation
# Expand the “OBN commercial offer available“ 

*Expected result:*
Description of the “Settlement Frequency“ field should be displayed properly


*Actual result:*

!image-20210809-131307.png|width=793,height=131!",,,44,,,0.5
"Wrong email sent when error on step ""Present commercial offer for signing""",OBN1-4766,Bug,Done,P4,,8/4/2021 14:07,,,,,,,"*Steps:*

# Use “throw new DomainException('merchant-risk-group-assign-failure', 'Cannot assign default risk group for merchant');“ exception generation inside of the task

*Expected result:*
”Account configuration error - present commercial offer for signing” message should be sent

*Actual result:*

!image-20210804-130715.png|width=1071,height=334!

!image-20210804-130726.png|width=1207,height=702!",,,44,,,0
Send SalesDefaultAccountCode instead of purchaseAccountCode for Xero Merchant Contact,OBN1-4738,Bug,Done,P3,,8/2/2021 10:24,,OBN Portal Release 1.2.1,,,,,"*Steps:*

# Create a Merchant Contact in Xero

*Expected:*

On Merchant contact creation, SalesDefaultAccountCode field should be sent

*Actual result:*

The purchaseAccountCode field is sent instead",,,43,,,0.5
500 error on receiving Starling notification with duplicated fp_id,OBN1-4710,Bug,Done,P4,,7/27/2021 15:28,,OBN Portal Release 1.2.4,,,,,"*Preconditions:*

In the payment_requests_to_pay exists a record with fp_id = “string“

*Steps:*

# Send a POST request to “/payment/starling/notification/fps-inbound“ using fp_id = “string“

*Actual result:*

!image-20210727-144426.png|width=919,height=397!",,,44,,,1
Error on updating Referrer,OBN1-4692,Bug,Done,P1 ,,7/22/2021 13:49,,OBN Portal Release 1.2.3,,,,,"*Preconditions:*

# Referrer exists 

*Steps:*

# Log in as Reseller Admin
# Navigate to “My Referrers“ → “Active Referrers“
# Try to update a Referrer dashboard

*Expected result:*
Referrer should be successfully updated

*Actual result:*

!image-20210722-131112.png|width=1477,height=726!",,,43,,,1
Exploratory issues ,OBN1-4621,Bug,Done,P4,,7/15/2021 14:15,,OBN Portal Release 1.2.1,,,,,"# hyperlink redirect from My Referrer - should display the opened profile for Active Merchants/Open Applications
# My Referrer > Referrer Dashboard - remove the ""(subdomain)"" word from the link with Referrer cobranded URL
# Cobranding (or branding) the Reset button from ""Logo"" section is not working ",,,42,,,1
"Onboarding - Upload documents - Validation message - ""address"" word is duplicated",OBN1-4606,Bug,Done,P5,,7/14/2021 13:32,,OBN Portal Release 1.2.1,,,,,"*Preconditions:*

# Sign up a merchant

*Steps:*

# Log in as applicant
# Complete mandatory fields
# Leave “Business owner proof of residential address” field empty
# Click “Next“ button

*Expected result:*
Validation message “Business owner proof of residential address is required“ is displayed.

*Actual result:*

!Screenshot_186.png|width=785,height=487!",,,42,,,0.5
Referrer can be created with empty values for Medium and Low config values,OBN1-4604,Bug,Done,P4,,7/14/2021 12:00,,OBN Portal Release 1.2.1,,,,,"*Preconditions:*

# Log in as Reseller Admin

*Steps:*

# Navigate to “Create Referrer“ page
# Complete just “High“ risk values
# Leave Medium and Low risks tabs
# Submit the details
# !image-20210714-111326.png|width=645,height=461!

*Expected result:*

A validation error should be received. Referrer shouldn’t be saved

*Actual result:*

Referrer is successfully created.

!image-20210714-111308.png|width=731,height=534!",,,42,,,0.5
[Prod] Wrong BP total calculation for Merchant BP,OBN1-4600,Bug,Done,P3,,7/13/2021 17:42,,OBN Portal Release 1.2.1,,,,,"*Preconditions:*

# Log in on stage
# Analyze Merchant with id 62

*Steps:*

# Log In as Reseller admin
# Navigate to Merchants page
# Open BP of one Merchant (which is under Referrer)

*Actual result:*
The total should be displayed between Reseller and Referrer fees

*Expected result:*
Total should be 0.4

!image-20210713-164237.png|width=1485,height=630!

Note \! “My Merchants > Active Merchants > Billing Plan” and “My Merchants > Merchant Billing Plan”",,,42,,,0.5
Operation not allowed error when expanding approved merchant details,OBN1-4585,Bug,Done,P4,,7/12/2021 15:32,,OBN Portal Release 1.2.1,,,,,"*Preconditions:*

# A merchant with status Approved exists
# Log in as Reseller Admin

*Steps:*

# Navigate to “My Merchants->Open Applications“ page
# Expand an approved merchant
# Check the display

*Expected result:*
Merchant details are displayed

*Actual result:*


!Screenshot_158.png|width=1151,height=538!",,,42,,,0.5
BP config default completed on Referrer creation,OBN1-4571,Bug,Done,P4,,7/9/2021 9:35,,OBN Portal Release 1.2.1,,,,,"*Preconditions:*

# Log in as Reseller Admin

*Steps:*

# Navigate tp “Active Referrers“ page
# Click on “Create Referrers“ button
# Complete all the field till “BP config“ 

*Expected result:*
BP Config fields should empty

*Actual result:*
Fields are pre-populated with 0 values",,,42,,,0.5
Change name to businessTradingName on Referrer creation,OBN1-4569,Bug,Done,P3,,7/8/2021 17:06,,OBN Portal Release 1.2.1,,,,,"*Steps:*

# Navigate to “Create Referrer“ page
# Complete all mandatory fields

*Expected result:*
The Referrer should be created

channge {{name}}to {{businessTradingName}}

*Actual result:*


!image-20210708-160811.png|width=739,height=118!",,,41,,,0.5
Referrer name comes empty on Active Referrers page,OBN1-4568,Bug,Done,P1 ,,7/8/2021 16:16,,OBN Portal Release 1.2.1,,,,,"*Steps:*

# Log in as Reseller Admin
# Make a GET request tp “/my-referrers/active-referrers” 

*Expected result:*
Referrer name should be returned

*Actual result:*

!image-20210708-151900.png|width=1003,height=567!",,,41,,,0.5
Soft delete is made instead of hard delete,OBN1-4521,Bug,Done,P4,,7/5/2021 12:25,,OBN Portal Release 1.2.1,,,,,"*Preconditions:*

# User signed-up 2 days ago and didn’t confirm it

*Steps:*

# Run obn:delete-users:expired-pwd-token job

*Expected result:*
User, organisation and application should be hard deleted

*Actual result:*
The user is just soft deleted.
Organisation and application are not deleted at all.",,,42,,,3
[Prod] Wrong value for My Organisation > Settlement Bank Account,OBN1-4513,Bug,Done,P4,,7/2/2021 16:11,,OBN Portal Release 1.2.1,Prod,,,,"“My Organisation > Settlement Bank Account” – The value for Balance is 0.00 however it should be 0.016

*Expected result:*
Value from GET “{{payment/external-bank-account/balance}}“ should return amount from *_payment_accounts_* where type = “OBN_HOLDING“

P.S. - value displayed in UI should take into account the payment_merchants.debt_to_referrer_units

*Actual result:*
Value is returned from account with type=”OBN_EXTERNAL”, which is Bank Account of the Reseller",Production,,43,,,1
[Prod] Deducted fee value is not according to the commercial offer,OBN1-4511,Bug,Done,P4,,7/2/2021 16:09,,OBN Portal Release 1.2.1,Prod,,,,"Deducted fee value is not according to the commercial offer. The total value for sale is 0.40% (0.20% OBN + 0.20% Referrer). For a £8 transaction the fee should be 0.032 (8*0.40/100) however the deducted value from Activity table is 0.02. My assumption is that it is taken separately 0.016 for OBN and 0.016 for Referrer and because we store in minor units we store 0.01 for OBN and 0.01 for Referrer. 

Referrer fee - 0.016 *100 = 1.6 → 2 (deduct this value)

OBN fee - 0.016 *100 = 1.6 → 2 (deduct this value)

Total = 4

0.011*100=1.1 → 1 

round down until .4 (1.499 → 1)

round up from .5 (1.500 → 2)

Note\! Run regression for transaction splitting ",Production,,43,,,3
"[Prod] Application status is not set to ""Completed"" when all workflow steps passed",OBN1-4510,Bug,Done,P4,,7/2/2021 16:09,,OBN Portal Release 1.2.1,,,,,"For first onboarded merchant the workflow status is not updated to ""Completed"" when all workflow steps passed
The onboarded merchant cannot log into the portal",Production,,42,,,1
"Error on ""About the Business"" because of new URL format",OBN1-4502,Bug,Done,P2,,7/2/2021 12:48,,OBN Portal Release 1.2.1,,,,,"*Preconditions:*

# Sign-up an applicant with new URL format

*Steps:*

# Confirm the sign-up
# Log in and complete “About the Business“

*Actual result:*
The new format of the URL is not accepted on “About the Business“ page

!image-20210702-121313.png|width=1360,height=734!",,,41,,,0.5
"Error on getting workflows for Reseller with ""REFERRERS_FULL"" permissions",OBN1-4497,Bug,Done,P4,,7/2/2021 9:25,,OBN Portal Release 1.2.1,,,,,"*Preconditions:*

# Log in as Reseller standard with “REFERRERS_FULL“ permission

*Steps:*

# Navigate to “Active Referrers“
# Expand a Referrer
# Click to edit it

*Expected result:*

User should be able to edit the Referrer dashboard



*Actual result:*


!image-20210702-082913.png|width=1046,height=612!",,,41,,,1
MCC remains populated after creation of a Referrer,OBN1-4477,Bug,Done,P4,,6/30/2021 15:21,,OBN Portal Release 1.2.1,,,,,"*Preconditions:*

# Log in as Reseller Admin
# Create a Referrer

*Steps:*

# Try to create another Referrer

*Actual result:*
The MCC is populated with values of previous Referrer.

!image-20210630-142455.png|width=677,height=289!



When I save the data, an error is received

!image-20210630-142635.png|width=651,height=253!",,,41,,,1
On Referrer creation address is not saved accordingly ,OBN1-4442,Bug,Done,P3,,6/28/2021 12:13,,OBN Portal Release 1.2.1,,,,,"On creation Referrer, address is not saved in user_organizations",,,41,,,2
Wrong authentication attempts are not reset after 30 minutes,OBN1-4418,Bug,Done,P4,,6/24/2021 16:00,,OBN Portal Release 1.2.1,,,,,"*Preconditions:*

# User’s account was locked because of wrong attempts
# 30 min passed after account locking

*Steps:*

# Try to authenticate with wrong password

*Expected result:*
The counter should be reset and locked_at should become null

*Actual result:*
The counter continues to increment and locked_at remains unchanged",,S2,42,,,3
Issues on Refund from CS,OBN1-4416,Bug,Done,P1 ,,6/24/2021 13:08,,OBN 1.12,MVP,,,,"* NT should update the endpoint to “POST /payment/\{MERCHANTID}/zapp/refund” → fixed under [https://cardstream.atlassian.net/browse/TD-2382|https://cardstream.atlassian.net/browse/TD-2382|smart-link] 
* Gateway Transaction ID → _reference in our DB_ {color:#36b37e}_request_to_pay.reference_{color} _-_ {color:#36b37e}_NOW IS NULL or gateway_transaction_id (Obs. gateway_transaction_id is set only for Bambora)_ {color}_→ to be added details for PbBA; for PBBA we don't have now this field. Now we display the reference from PbBa_
** {color:#ff5630}waiting for CS to change the implementation and send the gateway transaction id in the Submit RTP for PbBa{color}",,,70,,,5
obn:delete-users:expired-pwd-token affects ALL the users from the system,OBN1-4360,Bug,Done,P1 ,,6/18/2021 13:28,,OBN Portal Release 1.2.1,,,,,"*Preconditions:*
1. Merchant  with workflow completed

2. There is a new admin user which received sign-up-confirm email more than 2 days ago and he didn’t confirm it

3. There is an Reseller admin user with password reset more than 2 days ago and he didn’t access it

4. The *_obn:delete-users:expired-pwd-token_* job runs

*Expected result:*
The users WHICH ARE NOT linked to an applicant IN-Progress SHOULDN”T be considered by this job

*Actual result:*
They are considered",,,41,,,1
Sign-up confirm email shouldn't be sent to the user which did the sign up and is owner at the same time,OBN1-4327,Bug,Done,P2,,6/17/2021 9:51,,OBN Portal Release 1.2.1,,,,,"*Preconditions:*

# User ”[test@IS747KpcGwBECg5R.com|mailto:test@IS747KpcGwBECg5R.com]” applied for sign-up

*Steps:*

# Complete the About its Owners step
# Use ”[test@IS747KpcGwBECg5R.com|mailto:test@IS747KpcGwBECg5R.com]” as owner email
# Submit the onboarding details
# Workflow passed the “Activate Merchant“ workflow step

*Expected result:*
The Merchant should be active.
An email should be sent to ”[test@IS747KpcGwBECg5R.com|mailto:test@IS747KpcGwBECg5R.com]” email


!image-20210617-085414.png|width=565,height=314!

*Actual result:*
Also this email is sent and a reset password link is generated for the user which already confirmed the sign-up 

!image-20210617-085441.png|width=1041,height=453!",,S2,41,,,1
Workflow's phase enumeration is wrong when phases are shifted,OBN1-4326,Bug,Done,P5,,6/17/2021 9:31,,OBN Portal Release 1.2,,,,,"GET /workflow/\{uuid}

*Preconditions:*

# An workflow with shifted phases exists
# Log in as Reseller Admin

*Steps:*

# Go to “My Organisation”->”My Workflows” page
# Select the workflow
# Check the phase enumeration

*Expected result:*
The enumeration is consecutive.

*Actual result:*

!Screenshot_77.png|width=1129,height=525!",,,40,,,0.5
The domain validation doesn't pass for new URL format,OBN1-4289,Bug,Done,P3,,6/15/2021 9:51,,OBN Portal Release 1.2.1,,,,,"*Steps:*

# Navigate to “sign-up“ page
# Introduce “[www.obn.com|http://www.obn.com]“ Business URL
# Introduce “test@obn.com“

*Expected result*
The application should be successfully accepted

*Actual result:*
Application is rejected

!image-20210615-085454.png|width=757,height=260!",,,41,,,0.5
"[External API] Error thrown at “Total ownership % must add up to 100%.""",OBN1-4274,Bug,Done,P1 ,,6/14/2021 11:19,,OBN Portal Release 1.2,,,,,"“Total ownership % must add up to 100%."" No matter what value is added an error is thrown ",,,40,,,0.5
Starling notification issue,OBN1-4266,Bug,Done,P1 ,,6/11/2021 15:03,,OBN Portal Release 1.2,,,,,,,,39,,,0.5
Disabled steps are displayed ,OBN1-4207,Bug,Done,P4,,6/8/2021 15:15,,OBN 1.9,,,,,"*Preconditions:*

# Log in as Reseller Admin

*Steps:*

# Navigate to “My Organisation”->”My Workflows“ page
# Select an workflow
# Check if disable steps for that workflow are displayed

*Expected result:*
Only available steps are displayed.

*Actual result:*
All steps are displayed.

!Screenshot_39.png|width=323,height=230!

!Screenshot_38.png|width=885,height=540!",,,66,,,1
EOD(End of Working Day) shouldn't affect  Merchants without Holding Account,OBN1-4170,Bug,Done,P1 ,,6/4/2021 15:30,,OBN Portal Release 1.2,,,,,"*Preconditions:*
1. Merchant without holding Account 

*Steps:*

# End of working day comes and “{{obn:working-hour}}“ command runs

*Expected result:*
The cron job should consider just the Merchants with Holding Account

*Actual result:*
The job considers all the Merchants and throws error because Holding Account of the Merchant misses",,,39,,,1
Email not sent when Kompli goes to manual ,OBN1-4165,Bug,Done,P3,,6/4/2021 13:41,,OBN Portal Release 1.2,,,,,When Kompli case becomes “NEEDS_REVIEW“ an email should be sent to Reseller admins,,,39,,,1
Trading Address of the Referrer organisation should be populated because is used on the invoices,OBN1-4146,Bug,Done,P3,,6/3/2021 12:28,,OBN Portal Release 1.2,,,,,"*Steps:*

# Create a Referrer
# Provide Referrer’s address details

*Expected result:*

When Referrer is created, the address should be saved also in user_organizations.trading_address_id, because this value is used on the download of the invoice. Without this value populated a 500 is thrown 

*Actual result:*
After Referrer creation just payment_referrers.address_id is populated",,,40,,,3
[Onboarding] Company legal name tooltip is getting in the way,OBN1-4131,Bug,Done,P3,,6/2/2021 17:06,,OBN Portal Release 1.2.4,,,,,"In the lookup for companies, the ""Provide further characters..."" thing got in the way of being able to type text into the field

* check on small monitors",,,45,,,0.5
Settlement is not enabled for Referrer after creation ,OBN1-4066,Bug,Done,P2,,5/28/2021 13:54,,OBN Portal Release 1.2,,,,,"*Preconditions:*

# Logged as Reseller Admin

*Steps:*

# Create a Referrer

*Expected result:*
”payment_referrers.stlmt_next_at” should be the first day of next month

*Actual result:*
The value is NULL, so the settlement will never happen ",,,39,,,1
"Not all the fields are populated on ""About its Payments"" after completing the form",OBN1-4063,Bug,Done,P3,,5/28/2021 10:31,,OBN Portal Release 1.2,,,,,"*Steps:*

# Complete all the onboarding steps
# On “About its Payments“ created 2 outlets
# Being on “Review&Submit“ navigate back to “About its Payments“ page

*Expected:*

All completed details should be automatically pre-populated

*Actual result:*
”Mercahant industry” and acquirers fields are not completed

!image-20210528-093547.png|width=926,height=674!",,,39,,,1
"Error on creating multiple outlets on ""About its Payments"" page",OBN1-3960,Bug,Done,P2,,5/18/2021 17:19,,OBN Portal Release 1.1,MVP+1,,,,"*Steps:*

# Navigate to “About its Payments“ step
# complete data for one outlet
# Click on '+' button to create another outlet

*Actual result:*

Console error. Outlet is not created

!image-20210518-162118.png|width=1828,height=916!",,,38,,,1
Deductions with 0 amount shouldn't be created in the database,OBN1-3931,Bug,Done,P3,,5/18/2021 10:46,,OBN Portal Release 1.1,Billing,MVP+1,UI,,"*Preconditions:*

# Applicant with offer generated
# Log in as Reseller Admin

*Steps:*

# Navigate to “Commercial Offer“ screen
# Introduce 0 value for any of the commissions

*Expected result:*

Deductions with 0 amount shouldn’t be added in “payment_deductions” and “payment_referrer_deductions” .
If there is a deduction already with specific type and value and I want to add 0, then it should be totally deleted

*Actual result:*
The value with 0 amount is added and I’m not sure how splitting will work with 0 amount fees",,,38,,,1
Issue with soft delete,OBN1-3878,Bug,Done,P1 ,,5/14/2021 6:34,,OBN Portal Release 1.2.4,,,,,"Issue with soft delete

*Pages to retest:*

# My organisation → Manage users
# My Referrers → Active Referrers → Manage users
# My Merchants → Active Merchants → Manage users 

*Endpoints:*

# ​/branding​/colors
# ​/branding​/logos
# /payment/deductions/\{uuid}
# /payment/referrer/deductions/\{uuid}
# /users/delete/\{uuid}
# /roles/\{uuid}
# /workflow/step/\{uuid}
# /workflow/\{uuid}
# /workflow/workflow-phase/\{uuid}
# /qr-code/\{text}.\{extension}",,,39,,,5
Reject button misses until I refresh the page,OBN1-3817,Bug,Done,P4,,5/5/2021 13:26,,OBN Portal Release 1.1,MVP+1,,,,"*PRECONDITIONS:*

# The applicant exists
# I’m on “Open Applications” → “Applicant Dashboard“

*STEPS:*

# Submit the onboarding details
# The workflow starts and goes to manual for a step/phase
# Navigate to “Application Status“ tab

*EXPECTED RESULT:*
The *_Continue_* and *_Reject_* buttons should be displayed


*ACTUAL RESULT:*

!image-20210505-123655.png|width=809,height=408!

P.S. - Button appears just after refresh page. Cristi suggested to change isRejectable flag to status endpoint instead of /my-merchants/open-applications",,,37,,,2
